ENST00000450305	ENSG00000223972
ENST00000406316	ENSG00000179915
ENST00000636345	ENSG00000179915
ENST00000635519	ENSG00000179915
ENST00000412315	ENSG00000179915
ENST00000404971	ENSG00000179915
ENST00000342183	ENSG00000179915
ENST00000378262	ENSG00000179915
ENST00000401710	ENSG00000179915
ENST00000611589	ENSG00000179915
ENST00000401669	ENSG00000179915
ENST00000630656	ENSG00000179915
ENST00000628364	ENSG00000179915
ENST00000405472	ENSG00000179915
ENST00000630543	ENSG00000179915
ENST00000406859	ENSG00000179915
ENST00000402717	ENSG00000179915
ENST00000628515	ENSG00000179915
ENST00000625891	ENSG00000179915
ENST00000405581	ENSG00000179915
ENST00000637511	ENSG00000179915
ENST00000626899	ENSG00000179915
ENST00000457379	ENSG00000230327
ENST00000401372	ENSG00000216191
ENST00000401149	ENSG00000215968
ENST00000426912	ENSG00000238165
ENST00000401192	ENSG00000216011
ENST00000606281	ENSG00000272385
ENST00000440698	ENSG00000231918
ENST00000410760	ENSG00000222692
ENST00000446933	ENSG00000224344
ENST00000443337	ENSG00000223710
ENST00000421074	ENSG00000230840
ENST00000447288	ENSG00000226366
ENST00000426746	ENSG00000236538
ENST00000435357	ENSG00000225444
ENST00000424302	ENSG00000225842
ENST00000443926	ENSG00000236837
ENST00000378256	ENSG00000204993
ENST00000430768	ENSG00000233083
ENST00000579990	ENSG00000264975
ENST00000421575	ENSG00000228033
ENST00000418451	ENSG00000232604
ENST00000438648	ENSG00000232668
ENST00000421749	ENSG00000223897
ENST00000263634	ENSG00000115239
ENST00000406687	ENSG00000115239
ENST00000394717	ENSG00000115239
ENST00000583374	ENSG00000264740
ENST00000406625	ENSG00000270898
ENST00000295304	ENSG00000143942
ENST00000405123	ENSG00000068912
ENST00000185150	ENSG00000068912
ENST00000378239	ENSG00000068912
ENST00000581338	ENSG00000265452
ENST00000394705	ENSG00000119737
ENST00000404125	ENSG00000068878
ENST00000606082	ENSG00000170634
ENST00000607452	ENSG00000170634
ENST00000422521	ENSG00000170634
ENST00000406041	ENSG00000170634
ENST00000303536	ENSG00000170634
ENST00000394666	ENSG00000170634
ENST00000606865	ENSG00000170634
ENST00000418851	ENSG00000235937
ENST00000437242	ENSG00000233266
ENST00000455473	ENSG00000241114
ENST00000606436	ENSG00000272156
ENST00000317802	ENSG00000178021
ENST00000405749	ENSG00000177994
ENST00000398634	ENSG00000177994
ENST00000615983	ENSG00000177994
ENST00000356805	ENSG00000115306
ENST00000615901	ENSG00000115306
ENST00000333896	ENSG00000115306
ENST00000395315	ENSG00000237887
ENST00000356458	ENSG00000214595
ENST00000394609	ENSG00000115310
ENST00000405240	ENSG00000115310
ENST00000357376	ENSG00000115310
ENST00000337526	ENSG00000115310
ENST00000317610	ENSG00000115310
ENST00000357732	ENSG00000115310
ENST00000394611	ENSG00000115310
ENST00000404909	ENSG00000115310
ENST00000402434	ENSG00000115310
ENST00000583669	ENSG00000266376
ENST00000407122	ENSG00000162994
ENST00000401408	ENSG00000162994
ENST00000406076	ENSG00000162994
ENST00000430010	ENSG00000227799
ENST00000402285	ENSG00000143947
ENST00000272317	ENSG00000143947
ENST00000639844	ENSG00000143947
ENST00000404735	ENSG00000143947
ENST00000403721	ENSG00000085760
ENST00000263629	ENSG00000085760
ENST00000394600	ENSG00000085760
ENST00000295112	ENSG00000162997
ENST00000336838	ENSG00000115355
ENST00000263630	ENSG00000115355
ENST00000413716	ENSG00000115355
ENST00000436346	ENSG00000115355
ENST00000621814	ENSG00000115355
ENST00000457252	ENSG00000233594
ENST00000583779	ENSG00000264849
ENST00000339012	ENSG00000163001
ENST00000406691	ENSG00000163001
ENST00000349456	ENSG00000163001
ENST00000407816	ENSG00000163001
ENST00000403007	ENSG00000163001
ENST00000611717	ENSG00000275052
ENST00000616288	ENSG00000275052
ENST00000616407	ENSG00000275052
ENST00000447944	ENSG00000138035
ENST00000625249	ENSG00000138035
ENST00000394555	ENSG00000115380
ENST00000355426	ENSG00000115380
ENST00000606639	ENSG00000272180
ENST00000446139	ENSG00000226702
ENST00000384817	ENSG00000207548
ENST00000385063	ENSG00000207798
ENST00000390186	ENSG00000211520
ENST00000451034	ENSG00000229805
ENST00000407595	ENSG00000055813
ENST00000418901	ENSG00000231570
ENST00000604970	ENSG00000271115
ENST00000605793	ENSG00000270569
ENST00000603793	ENSG00000271615
ENST00000435505	ENSG00000028116
ENST00000417641	ENSG00000028116
ENST00000412104	ENSG00000028116
ENST00000340157	ENSG00000028116
ENST00000440705	ENSG00000028116
ENST00000515929	ENSG00000251738
ENST00000403295	ENSG00000115392
ENST00000233741	ENSG00000115392
ENST00000402135	ENSG00000115392
ENST00000403676	ENSG00000115392
ENST00000434851	ENSG00000233426
ENST00000454367	ENSG00000225226
ENST00000422723	ENSG00000233723
ENST00000452840	ENSG00000233723
ENST00000434096	ENSG00000231043
ENST00000409590	ENSG00000222030
ENST00000606382	ENSG00000271955
ENST00000444001	ENSG00000233891
ENST00000412409	ENSG00000233891
ENST00000434611	ENSG00000233891
ENST00000435557	ENSG00000233891
ENST00000408726	ENSG00000221653
ENST00000415159	ENSG00000231815
ENST00000604976	ENSG00000270447
ENST00000516646	ENSG00000252455
ENST00000457668	ENSG00000228590
ENST00000453476	ENSG00000223929
ENST00000441598	ENSG00000223929
ENST00000581823	ENSG00000266078
ENST00000356842	ENSG00000119866
ENST00000359629	ENSG00000119866
ENST00000489516	ENSG00000119866
ENST00000335712	ENSG00000119866
ENST00000358510	ENSG00000119866
ENST00000409351	ENSG00000119866
ENST00000604586	ENSG00000271134
ENST00000424037	ENSG00000213495
ENST00000605365	ENSG00000271707
ENST00000238714	ENSG00000115421
ENST00000439412	ENSG00000228414
ENST00000452343	ENSG00000228414
ENST00000444831	ENSG00000237024
ENST00000295025	ENSG00000162924
ENST00000394479	ENSG00000162924
ENST00000414613	ENSG00000237522
ENST00000451515	ENSG00000232713
ENST00000316752	ENSG00000162927
ENST00000407787	ENSG00000162927
ENST00000398658	ENSG00000162927
ENST00000444100	ENSG00000162928
ENST00000401576	ENSG00000162928
ENST00000295030	ENSG00000162928
ENST00000414712	ENSG00000162928
ENST00000402291	ENSG00000162929
ENST00000295031	ENSG00000162929
ENST00000453873	ENSG00000162929
ENST00000612149	ENSG00000162929
ENST00000356719	ENSG00000162929
ENST00000426997	ENSG00000237651
ENST00000464909	ENSG00000237651
ENST00000488469	ENSG00000237651
ENST00000432605	ENSG00000237651
ENST00000605902	ENSG00000271889
ENST00000607743	ENSG00000271889
ENST00000606876	ENSG00000271889
ENST00000357022	ENSG00000173209
ENST00000489653	ENSG00000173209
ENST00000394457	ENSG00000173209
ENST00000410073	ENSG00000173209
ENST00000398571	ENSG00000115464
ENST00000605372	ENSG00000271146
ENST00000444364	ENSG00000234624
ENST00000401558	ENSG00000082898
ENST00000404992	ENSG00000082898
ENST00000406957	ENSG00000082898
ENST00000578597	ENSG00000266768
ENST00000603988	ENSG00000271243
ENST00000439197	ENSG00000226884
ENST00000456719	ENSG00000213486
ENST00000416921	ENSG00000227361
ENST00000440214	ENSG00000229831
ENST00000404929	ENSG00000170264
ENST00000405894	ENSG00000170264
ENST00000414975	ENSG00000230702
ENST00000612715	ENSG00000277498
ENST00000394440	ENSG00000115484
ENST00000544079	ENSG00000115484
ENST00000311832	ENSG00000173163
ENST00000442699	ENSG00000242735
ENST00000605375	ENSG00000271657
ENST00000301998	ENSG00000170340
ENST00000405767	ENSG00000170340
ENST00000579892	ENSG00000266097
ENST00000603429	ENSG00000270335
ENST00000416845	ENSG00000228541
ENST00000335390	ENSG00000186889
ENST00000439643	ENSG00000233702
ENST00000454675	ENSG00000229503
ENST00000426107	ENSG00000232144
ENST00000445584	ENSG00000230595
ENST00000405015	ENSG00000115504
ENST00000431489	ENSG00000115504
ENST00000263991	ENSG00000115504
ENST00000405289	ENSG00000115504
ENST00000420122	ENSG00000237162
ENST00000366671	ENSG00000115507
ENST00000282549	ENSG00000115507
ENST00000605001	ENSG00000270437
ENST00000428700	ENSG00000232403
ENST00000443827	ENSG00000242412
ENST00000272321	ENSG00000143951
ENST00000409199	ENSG00000143951
ENST00000409120	ENSG00000143951
ENST00000398544	ENSG00000143951
ENST00000409562	ENSG00000143951
ENST00000438685	ENSG00000233716
ENST00000233114	ENSG00000014641
ENST00000409908	ENSG00000014641
ENST00000409476	ENSG00000014641
ENST00000539945	ENSG00000014641
ENST00000544381	ENSG00000014641
ENST00000436998	ENSG00000228305
ENST00000419038	ENSG00000229920
ENST00000411843	ENSG00000234488
ENST00000408158	ENSG00000221085
ENST00000393996	ENSG00000228872
ENST00000416539	ENSG00000229221
ENST00000394417	ENSG00000169764
ENST00000467648	ENSG00000169764
ENST00000337130	ENSG00000169764
ENST00000640075	ENSG00000169764
ENST00000627474	ENSG00000169764
ENST00000626380	ENSG00000169764
ENST00000445915	ENSG00000169764
ENST00000613823	ENSG00000169764
ENST00000409558	ENSG00000143952
ENST00000354504	ENSG00000143952
ENST00000272322	ENSG00000143952
ENST00000423539	ENSG00000228079
ENST00000358912	ENSG00000197329
ENST00000431020	ENSG00000230923
ENST00000604190	ENSG00000270354
ENST00000448204	ENSG00000238012
ENST00000424119	ENSG00000238201
ENST00000581329	ENSG00000264297
ENST00000479658	ENSG00000236148
ENST00000425381	ENSG00000237217
ENST00000238875	ENSG00000119862
ENST00000409537	ENSG00000119862
ENST00000436433	ENSG00000223863
ENST00000561559	ENSG00000260101
ENST00000238855	ENSG00000119844
ENST00000238856	ENSG00000119844
ENST00000409933	ENSG00000119844
ENST00000422803	ENSG00000119844
ENST00000417695	ENSG00000233694
ENST00000313349	ENSG00000179833
ENST00000439964	ENSG00000226756
ENST00000428806	ENSG00000227791
ENST00000517273	ENSG00000253082
ENST00000445865	ENSG00000234572
ENST00000449259	ENSG00000237638
ENST00000455212	ENSG00000227394
ENST00000531327	ENSG00000115902
ENST00000234256	ENSG00000115902
ENST00000377990	ENSG00000011523
ENST00000537589	ENSG00000011523
ENST00000260569	ENSG00000011523
ENST00000409892	ENSG00000138069
ENST00000409784	ENSG00000138069
ENST00000398529	ENSG00000138069
ENST00000409751	ENSG00000138069
ENST00000620999	ENSG00000273763
ENST00000467568	ENSG00000172974
ENST00000260641	ENSG00000138071
ENST00000377982	ENSG00000138071
ENST00000542850	ENSG00000138071
ENST00000356388	ENSG00000198369
ENST00000443619	ENSG00000198369
ENST00000597541	ENSG00000234255
ENST00000600508	ENSG00000234255
ENST00000601940	ENSG00000234255
ENST00000454674	ENSG00000237979
ENST00000434630	ENSG00000223739
ENST00000420724	ENSG00000235725
ENST00000629214	ENSG00000281920
ENST00000398525	ENSG00000214533
ENST00000583614	ENSG00000265899
ENST00000408597	ENSG00000221524
ENST00000411785	ENSG00000227293
ENST00000410659	ENSG00000222591
ENST00000449673	ENSG00000225815
ENST00000577635	ENSG00000264525
ENST00000428647	ENSG00000232164
ENST00000560281	ENSG00000143995
ENST00000272369	ENSG00000143995
ENST00000488550	ENSG00000143995
ENST00000398506	ENSG00000143995
ENST00000495021	ENSG00000143995
ENST00000433396	ENSG00000232046
ENST00000428590	ENSG00000232046
ENST00000433432	ENSG00000237179
ENST00000455096	ENSG00000224071
ENST00000451383	ENSG00000230355
ENST00000426260	ENSG00000230525
ENST00000411701	ENSG00000230525
ENST00000444266	ENSG00000232688
ENST00000427579	ENSG00000223859
ENST00000452716	ENSG00000235885
ENST00000594329	ENSG00000235885
ENST00000445514	ENSG00000235885
ENST00000450294	ENSG00000235885
ENST00000433133	ENSG00000236780
ENST00000414404	ENSG00000236780
ENST00000450944	ENSG00000236605
ENST00000272342	ENSG00000143971
ENST00000433065	ENSG00000224173
ENST00000419809	ENSG00000235495
ENST00000457448	ENSG00000237013
ENST00000454972	ENSG00000235968
ENST00000355848	ENSG00000197223
ENST00000407324	ENSG00000197223
ENST00000410067	ENSG00000197223
ENST00000409302	ENSG00000197223
ENST00000295121	ENSG00000243667
ENST00000406245	ENSG00000243667
ENST00000409164	ENSG00000243667
ENST00000428093	ENSG00000236259
ENST00000406334	ENSG00000273398
ENST00000263657	ENSG00000115946
ENST00000234310	ENSG00000221823
ENST00000409752	ENSG00000221823
ENST00000409377	ENSG00000221823
ENST00000401296	ENSG00000216115
ENST00000408516	ENSG00000221443
ENST00000409559	ENSG00000119865
ENST00000263655	ENSG00000119865
ENST00000409862	ENSG00000119865
ENST00000234313	ENSG00000115956
ENST00000444697	ENSG00000229462
ENST00000377957	ENSG00000204923
ENST00000303795	ENSG00000169621
ENST00000394342	ENSG00000169621
ENST00000484779	ENSG00000214525
ENST00000303786	ENSG00000169618
ENST00000409202	ENSG00000163219
ENST00000467265	ENSG00000163219
ENST00000409030	ENSG00000163219
ENST00000409220	ENSG00000163219
ENST00000497079	ENSG00000163219
ENST00000479844	ENSG00000163219
ENST00000415448	ENSG00000228329
ENST00000295379	ENSG00000163217
ENST00000637675	ENSG00000283586
ENST00000328895	ENSG00000183607
ENST00000481498	ENSG00000183607
ENST00000377938	ENSG00000169605
ENST00000303714	ENSG00000169604
ENST00000409829	ENSG00000169604
ENST00000409349	ENSG00000169604
ENST00000577443	ENSG00000266649
ENST00000604342	ENSG00000271597
ENST00000357308	ENSG00000198380
ENST00000361060	ENSG00000198380
ENST00000410022	ENSG00000169599
ENST00000394305	ENSG00000169599
ENST00000303698	ENSG00000169599
ENST00000462320	ENSG00000169599
ENST00000409068	ENSG00000115977
ENST00000409085	ENSG00000115977
ENST00000406297	ENSG00000115977
ENST00000441658	ENSG00000232228
ENST00000420569	ENSG00000229948
ENST00000409920	ENSG00000196975
ENST00000394295	ENSG00000196975
ENST00000415342	ENSG00000231024
ENST00000282570	ENSG00000087338
ENST00000603609	ENSG00000270723
ENST00000244227	ENSG00000124380
ENST00000409116	ENSG00000124380
ENST00000540449	ENSG00000059728
ENST00000264444	ENSG00000059728
ENST00000599032	ENSG00000268328
ENST00000320256	ENSG00000244617
ENST00000303577	ENSG00000169564
ENST00000455541	ENSG00000233060
ENST00000429424	ENSG00000225392
ENST00000414141	ENSG00000231327
ENST00000264434	ENSG00000115998
ENST00000420306	ENSG00000115998
ENST00000433529	ENSG00000116001
ENST00000415783	ENSG00000116001
ENST00000282574	ENSG00000116001
ENST00000445587	ENSG00000116001
ENST00000416149	ENSG00000116001
ENST00000408311	ENSG00000221238
ENST00000446011	ENSG00000231414
ENST00000433351	ENSG00000116005
ENST00000264441	ENSG00000116005
ENST00000272348	ENSG00000143977
ENST00000482975	ENSG00000143977
ENST00000438261	ENSG00000143977
ENST00000449935	ENSG00000143977
ENST00000413456	ENSG00000143977
ENST00000454893	ENSG00000143977
ENST00000037869	ENSG00000035141
ENST00000430566	ENSG00000035141
ENST00000431406	ENSG00000235289
ENST00000295400	ENSG00000163235
ENST00000445399	ENSG00000163235
ENST00000418333	ENSG00000163235
ENST00000450929	ENSG00000163235
ENST00000444975	ENSG00000163235
ENST00000401177	ENSG00000215996
ENST00000264436	ENSG00000075340
ENST00000407644	ENSG00000075340
ENST00000355733	ENSG00000075340
ENST00000413157	ENSG00000075340
ENST00000430656	ENSG00000075340
ENST00000332372	ENSG00000183733
ENST00000447764	ENSG00000228034
ENST00000272367	ENSG00000152672
ENST00000426626	ENSG00000152672
ENST00000451333	ENSG00000231386
ENST00000410009	ENSG00000116031
ENST00000449073	ENSG00000237751
ENST00000234392	ENSG00000116035
ENST00000234396	ENSG00000116039
ENST00000412314	ENSG00000116039
ENST00000606025	ENSG00000258881
ENST00000412558	ENSG00000226186
ENST00000272421	ENSG00000144031
ENST00000441349	ENSG00000144031
ENST00000457410	ENSG00000144031
ENST00000360589	ENSG00000144031
ENST00000272438	ENSG00000144043
ENST00000585144	ENSG00000266029
ENST00000578856	ENSG00000266186
ENST00000581030	ENSG00000265812
ENST00000400027	ENSG00000205847
ENST00000503990	ENSG00000234485
ENST00000582706	ENSG00000264382
ENST00000456741	ENSG00000234896
ENST00000613852	ENSG00000124357
ENST00000455662	ENSG00000124357
ENST00000418807	ENSG00000124357
ENST00000443872	ENSG00000124357
ENST00000443938	ENSG00000124357
ENST00000244204	ENSG00000124357
ENST00000608897	ENSG00000272735
ENST00000244217	ENSG00000124370
ENST00000578636	ENSG00000264051
ENST00000244230	ENSG00000124383
ENST00000498451	ENSG00000124383
ENST00000437460	ENSG00000233870
ENST00000244221	ENSG00000124374
ENST00000410075	ENSG00000075292
ENST00000264447	ENSG00000075292
ENST00000409544	ENSG00000075292
ENST00000409762	ENSG00000135636
ENST00000409582	ENSG00000135636
ENST00000429174	ENSG00000135636
ENST00000413539	ENSG00000135636
ENST00000258104	ENSG00000135636
ENST00000409651	ENSG00000135636
ENST00000394120	ENSG00000135636
ENST00000409744	ENSG00000135636
ENST00000409366	ENSG00000135636
ENST00000410020	ENSG00000135636
ENST00000410041	ENSG00000135636
ENST00000451209	ENSG00000233971
ENST00000546307	ENSG00000003137
ENST00000001146	ENSG00000003137
ENST00000412253	ENSG00000003137
ENST00000272427	ENSG00000144036
ENST00000634650	ENSG00000144036
ENST00000410104	ENSG00000144036
ENST00000412637	ENSG00000228568
ENST00000234454	ENSG00000116096
ENST00000394111	ENSG00000135638
ENST00000258106	ENSG00000135638
ENST00000272433	ENSG00000144040
ENST00000410065	ENSG00000144040
ENST00000486777	ENSG00000135631
ENST00000258098	ENSG00000135631
ENST00000398468	ENSG00000214513
ENST00000389501	ENSG00000135632
ENST00000629411	ENSG00000135632
ENST00000258083	ENSG00000135617
ENST00000540468	ENSG00000135624
ENST00000539919	ENSG00000135624
ENST00000258091	ENSG00000135624
ENST00000398422	ENSG00000135624
ENST00000626868	ENSG00000135624
ENST00000295133	ENSG00000163013
ENST00000521871	ENSG00000163013
ENST00000520530	ENSG00000163013
ENST00000436467	ENSG00000135625
ENST00000545030	ENSG00000135625
ENST00000437188	ENSG00000214484
ENST00000484298	ENSG00000116127
ENST00000613296	ENSG00000116127
ENST00000614410	ENSG00000116127
ENST00000408160	ENSG00000221087
ENST00000272425	ENSG00000144035
ENST00000428767	ENSG00000163016
ENST00000377712	ENSG00000204872
ENST00000272424	ENSG00000144034
ENST00000409716	ENSG00000144034
ENST00000318190	ENSG00000144034
ENST00000608509	ENSG00000273245
ENST00000272444	ENSG00000144048
ENST00000443070	ENSG00000144048
ENST00000409561	ENSG00000187833
ENST00000339566	ENSG00000124356
ENST00000409707	ENSG00000124356
ENST00000394073	ENSG00000124356
ENST00000394070	ENSG00000124356
ENST00000536064	ENSG00000124356
ENST00000604756	ENSG00000271536
ENST00000409731	ENSG00000163017
ENST00000345517	ENSG00000163017
ENST00000409918	ENSG00000163017
ENST00000409624	ENSG00000163017
ENST00000629438	ENSG00000114956
ENST00000264093	ENSG00000114956
ENST00000348222	ENSG00000114956
ENST00000441217	ENSG00000235499
ENST00000409262	ENSG00000187605
ENST00000305799	ENSG00000187605
ENST00000551203	ENSG00000257800
ENST00000616370	ENSG00000217702
ENST00000401851	ENSG00000217702
ENST00000327428	ENSG00000163170
ENST00000295326	ENSG00000163170
ENST00000396049	ENSG00000114978
ENST00000597714	ENSG00000267958
ENST00000624835	ENSG00000279070
ENST00000394053	ENSG00000065911
ENST00000409804	ENSG00000065911
ENST00000409601	ENSG00000065911
ENST00000451608	ENSG00000264324
ENST00000394019	ENSG00000188687
ENST00000423644	ENSG00000188687
ENST00000346834	ENSG00000188687
ENST00000358683	ENSG00000188687
ENST00000377632	ENSG00000188687
ENST00000377634	ENSG00000188687
ENST00000454475	ENSG00000229798
ENST00000455668	ENSG00000234632
ENST00000416876	ENSG00000225658
ENST00000361874	ENSG00000204843
ENST00000394003	ENSG00000204843
ENST00000628224	ENSG00000204843
ENST00000633691	ENSG00000204843
ENST00000409438	ENSG00000204843
ENST00000409240	ENSG00000204843
ENST00000409868	ENSG00000204843
ENST00000409567	ENSG00000204843
ENST00000517883	ENSG00000159239
ENST00000448783	ENSG00000234521
ENST00000612891	ENSG00000284308
ENST00000640868	ENSG00000284308
ENST00000290390	ENSG00000284308
ENST00000414130	ENSG00000233155
ENST00000409791	ENSG00000005448
ENST00000348227	ENSG00000005448
ENST00000305557	ENSG00000114993
ENST00000272430	ENSG00000114993
ENST00000233330	ENSG00000114993
ENST00000233331	ENSG00000115274
ENST00000409917	ENSG00000115274
ENST00000452361	ENSG00000274049
ENST00000233615	ENSG00000239779
ENST00000393972	ENSG00000239779
ENST00000409737	ENSG00000239779
ENST00000233616	ENSG00000115275
ENST00000452063	ENSG00000115275
ENST00000409065	ENSG00000115275
ENST00000258105	ENSG00000204822
ENST00000409710	ENSG00000204822
ENST00000393965	ENSG00000135637
ENST00000290418	ENSG00000135637
ENST00000442235	ENSG00000115282
ENST00000410003	ENSG00000115282
ENST00000233623	ENSG00000115282
ENST00000377566	ENSG00000179528
ENST00000460508	ENSG00000179528
ENST00000341396	ENSG00000179528
ENST00000233630	ENSG00000115289
ENST00000621092	ENSG00000115297
ENST00000233638	ENSG00000115297
ENST00000393951	ENSG00000144045
ENST00000404568	ENSG00000144045
ENST00000377526	ENSG00000115307
ENST00000258080	ENSG00000115317
ENST00000352222	ENSG00000115317
ENST00000264094	ENSG00000115318
ENST00000409249	ENSG00000115318
ENST00000393937	ENSG00000115318
ENST00000409549	ENSG00000115318
ENST00000409986	ENSG00000115318
ENST00000409429	ENSG00000115325
ENST00000233668	ENSG00000115325
ENST00000340004	ENSG00000115325
ENST00000290536	ENSG00000159374
ENST00000409585	ENSG00000159374
ENST00000536235	ENSG00000159374
ENST00000428904	ENSG00000233872
ENST00000455082	ENSG00000108442
ENST00000357877	ENSG00000135622
ENST00000611975	ENSG00000135622
ENST00000339773	ENSG00000135622
ENST00000421570	ENSG00000224646
ENST00000610008	ENSG00000272711
ENST00000290573	ENSG00000159399
ENST00000409174	ENSG00000159399
ENST00000435984	ENSG00000204792
ENST00000377469	ENSG00000204792
ENST00000418204	ENSG00000204792
ENST00000418001	ENSG00000236209
ENST00000453951	ENSG00000230836
ENST00000483063	ENSG00000115350
ENST00000305249	ENSG00000115353
ENST00000409848	ENSG00000115353
ENST00000577717	ENSG00000263909
ENST00000424400	ENSG00000236167
ENST00000393913	ENSG00000115363
ENST00000233712	ENSG00000115363
ENST00000410113	ENSG00000115363
ENST00000410010	ENSG00000115363
ENST00000410071	ENSG00000115363
ENST00000426657	ENSG00000230477
ENST00000393909	ENSG00000115364
ENST00000358788	ENSG00000115364
ENST00000409374	ENSG00000115364
ENST00000423067	ENSG00000226247
ENST00000321027	ENSG00000005436
ENST00000541687	ENSG00000005436
ENST00000409857	ENSG00000005436
ENST00000470503	ENSG00000005436
ENST00000603612	ENSG00000270996
ENST00000417269	ENSG00000233107
ENST00000398059	ENSG00000228209
ENST00000603205	ENSG00000271356
ENST00000409911	ENSG00000176204
ENST00000409884	ENSG00000176204
ENST00000409093	ENSG00000176204
ENST00000409088	ENSG00000176204
ENST00000409282	ENSG00000176204
ENST00000390695	ENSG00000211984
ENST00000585102	ENSG00000263447
ENST00000437233	ENSG00000227088
ENST00000438443	ENSG00000230968
ENST00000447303	ENSG00000237077
ENST00000443419	ENSG00000233605
ENST00000439259	ENSG00000229494
ENST00000434498	ENSG00000214429
ENST00000604823	ENSG00000270470
ENST00000420648	ENSG00000234877
ENST00000393897	ENSG00000143954
ENST00000272324	ENSG00000143954
ENST00000409471	ENSG00000143954
ENST00000305089	ENSG00000172023
ENST00000233735	ENSG00000115386
ENST00000447469	ENSG00000204787
ENST00000409839	ENSG00000172016
ENST00000393878	ENSG00000172016
ENST00000305165	ENSG00000172016
ENST00000466387	ENSG00000066032
ENST00000496558	ENSG00000066032
ENST00000629316	ENSG00000066032
ENST00000409266	ENSG00000066032
ENST00000402739	ENSG00000066032
ENST00000541047	ENSG00000066032
ENST00000343114	ENSG00000066032
ENST00000361291	ENSG00000066032
ENST00000540488	ENSG00000066032
ENST00000618727	ENSG00000277171
ENST00000427781	ENSG00000230237
ENST00000583520	ENSG00000266436
ENST00000577381	ENSG00000263566
ENST00000265882	ENSG00000223427
ENST00000408252	ENSG00000221179
ENST00000295057	ENSG00000162951
ENST00000409148	ENSG00000162951
ENST00000450290	ENSG00000230975
ENST00000378334	ENSG00000234429
ENST00000436549	ENSG00000231722
ENST00000641468	ENSG00000235519
ENST00000426710	ENSG00000233444
ENST00000455845	ENSG00000231781
ENST00000436977	ENSG00000229560
ENST00000437290	ENSG00000237498
ENST00000417406	ENSG00000226860
ENST00000441039	ENSG00000226700
ENST00000428871	ENSG00000225045
ENST00000433237	ENSG00000224695
ENST00000419540	ENSG00000227789
ENST00000455595	ENSG00000168129
ENST00000418060	ENSG00000223977
ENST00000448431	ENSG00000232548
ENST00000412884	ENSG00000224627
ENST00000442571	ENSG00000228225
ENST00000451049	ENSG00000228902
ENST00000443452	ENSG00000182814
ENST00000440495	ENSG00000228272
ENST00000393868	ENSG00000163541
ENST00000389394	ENSG00000115423
ENST00000237449	ENSG00000115423
ENST00000556632	ENSG00000259056
ENST00000398295	ENSG00000235847
ENST00000335459	ENSG00000186854
ENST00000409520	ENSG00000186854
ENST00000409133	ENSG00000186854
ENST00000618630	ENSG00000276362
ENST00000437175	ENSG00000213400
ENST00000595179	ENSG00000269417
ENST00000233143	ENSG00000034510
ENST00000449856	ENSG00000213399
ENST00000409785	ENSG00000176407
ENST00000567718	ENSG00000260840
ENST00000411597	ENSG00000235463
ENST00000436601	ENSG00000225787
ENST00000282111	ENSG00000152284
ENST00000419682	ENSG00000230299
ENST00000408652	ENSG00000221579
ENST00000501107	ENSG00000246575
ENST00000282120	ENSG00000152291
ENST00000377386	ENSG00000152291
ENST00000398263	ENSG00000152291
ENST00000409232	ENSG00000152291
ENST00000409015	ENSG00000152291
ENST00000444342	ENSG00000152291
ENST00000603980	ENSG00000270532
ENST00000295802	ENSG00000042445
ENST00000409013	ENSG00000115459
ENST00000409344	ENSG00000115459
ENST00000393852	ENSG00000115459
ENST00000315658	ENSG00000115459
ENST00000409890	ENSG00000115459
ENST00000605302	ENSG00000271014
ENST00000263867	ENSG00000042493
ENST00000409921	ENSG00000042493
ENST00000409670	ENSG00000042493
ENST00000409724	ENSG00000042493
ENST00000389938	ENSG00000152292
ENST00000453567	ENSG00000229648
ENST00000306434	ENSG00000168906
ENST00000409017	ENSG00000168906
ENST00000233838	ENSG00000115486
ENST00000430215	ENSG00000115486
ENST00000432071	ENSG00000118640
ENST00000263864	ENSG00000118640
ENST00000409760	ENSG00000118640
ENST00000306384	ENSG00000168899
ENST00000441634	ENSG00000168894
ENST00000306368	ENSG00000168894
ENST00000306353	ENSG00000168890
ENST00000334462	ENSG00000168890
ENST00000409668	ENSG00000168890
ENST00000450066	ENSG00000168883
ENST00000613444	ENSG00000168883
ENST00000409025	ENSG00000168883
ENST00000409470	ENSG00000168883
ENST00000323701	ENSG00000168883
ENST00000409766	ENSG00000168883
ENST00000306336	ENSG00000168887
ENST00000409734	ENSG00000168887
ENST00000519937	ENSG00000168878
ENST00000393822	ENSG00000168878
ENST00000409383	ENSG00000168878
ENST00000263863	ENSG00000115523
ENST00000524600	ENSG00000115523
ENST00000409696	ENSG00000115523
ENST00000443948	ENSG00000203363
ENST00000306279	ENSG00000168874
ENST00000638572	ENSG00000115525
ENST00000393808	ENSG00000115525
ENST00000393805	ENSG00000115525
ENST00000640322	ENSG00000115525
ENST00000377332	ENSG00000115525
ENST00000639119	ENSG00000115525
ENST00000640418	ENSG00000115525
ENST00000639432	ENSG00000115525
ENST00000640982	ENSG00000115525
ENST00000640992	ENSG00000115525
ENST00000638178	ENSG00000115525
ENST00000638986	ENSG00000115525
ENST00000455121	ENSG00000232504
ENST00000608140	ENSG00000272564
ENST00000263857	ENSG00000068654
ENST00000409681	ENSG00000068654
ENST00000254630	ENSG00000132300
